"","alabama","alaska","arizona","arkansas","california","colorado","connecticut","delaware","florida","georgia","hawaii","idaho","illinois","indiana","iowa","kansas","kentucky","louisiana","maine","maryland","massachusetts","michigan","minnesota","mississippi","missouri","montana","nebraska","nevada","new hampshire","new jersey","new mexico","new york","north carolina","north dakota","ohio","oklahoma","oregon","pennsylvania","rhode island","south carolina","south dakota","tennessee","texas","utah","vermont","virginia","washington","west virginia","wisconsin","wyoming"
"2020-01-27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-03",0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020-02-24",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0
"2020-03-02",0,0,0,0,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,18,0,0,0
"2020-03-09",0,0,5,0,134,10,1,0,12,15,1,0,7,3,5,0,4,0,0,3,39,0,1,0,0,0,3,2,3,10,0,141,6,0,0,0,11,8,1,5,0,3,13,2,0,4,156,0,1,0
"2020-03-16",23,2,12,21,416,149,39,7,127,101,8,4,93,20,14,10,17,136,16,33,156,52,52,11,8,4,17,41,13,165,17,808,27,0,47,9,33,71,18,26,5,48,63,37,11,46,615,0,45,9
"2020-03-23",167,33,216,179,1652,560,374,79,1081,682,67,45,1181,240,83,71,102,1035,90,251,580,1270,181,237,174,37,40,220,84,2668,62,19949,268,31,394,71,145,563,85,266,18,470,641,217,63,203,1307,15,371,18
"2020-03-30",751,84,935,307,5181,1907,2156,177,4473,2232,127,365,3785,1533,319,292,356,2852,168,1125,4975,5184,341,599,866,132,112,779,213,13792,199,46605,1001,77,1489,400,416,3512,302,626,72,1199,2337,549,181,766,3079,129,851,68
"2020-04-06",1058,69,1297,419,8940,2544,4335,519,7926,4526,181,755,7192,3189,522,480,577,10843,224,2630,8085,10621,410,890,1673,142,253,927,401,24454,404,65885,1567,116,2517,845,525,8919,674,1307,188,2032,5085,856,287,1857,3205,202,1171,117
"2020-04-13",1800,86,1236,548,7973,2519,6475,978,7390,5567,117,329,9763,3314,764,530,991,6149,199,4891,13030,8361,664,1204,1666,75,432,1065,305,23494,659,64584,1918,106,2525,743,452,11220,1894,1207,579,1730,6337,706,205,2869,2162,291,988,160
