"","alabama","alaska","arizona","arkansas","california","colorado","connecticut","delaware","florida","georgia","hawaii","idaho","illinois","indiana","iowa","kansas","kentucky","louisiana","maine","maryland","massachusetts","michigan","minnesota","mississippi","missouri","montana","nebraska","nevada","new hampshire","new jersey","new mexico","new york","north carolina","north dakota","ohio","oklahoma","oregon","pennsylvania","rhode island","south carolina","south dakota","tennessee","texas","utah","vermont","virginia","washington","west virginia","wisconsin","wyoming"
"2020-01-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"2020-03-09",0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"2020-03-16",0,0,0,0,9,2,0,0,2,1,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,3,0,10,0,0,0,0,1,0,0,1,0,0,1,0,0,1,26,0,0,0
"2020-03-23",0,0,2,0,28,8,10,0,14,24,0,0,12,11,0,1,2,31,0,3,9,16,1,1,4,0,0,3,1,24,0,173,0,0,6,2,4,6,0,4,0,2,6,1,2,5,62,0,5,0
"2020-03-30",11,2,18,7,108,41,26,7,54,78,0,7,72,32,6,7,8,152,3,12,47,181,9,15,9,4,3,14,2,172,4,1329,6,3,34,15,11,42,4,13,0,11,39,3,10,20,111,1,15,0
"2020-04-06",42,2,47,9,239,99,170,8,181,191,5,6,225,127,19,16,41,326,7,77,204,530,20,35,43,2,7,40,6,806,8,4637,36,0,102,34,13,122,23,30,3,52,113,9,11,28,162,3,63,0
"2020-04-13",51,2,55,14,339,158,396,26,245,185,4,20,491,243,19,38,54,372,9,170,584,876,40,47,80,1,9,56,14,1438,19,6849,49,6,132,47,24,393,46,39,2,49,161,5,4,95,142,5,72,1
"2020-04-20",60,1,69,12,498,140,729,31,324,288,1,15,559,252,35,38,49,444,16,320,965,863,73,71,65,5,14,49,19,1934,27,5414,96,4,235,45,22,803,82,37,1,42,203,10,10,151,136,17,76,1
"2020-04-27",64,0,86,9,577,257,681,53,265,214,6,10,633,266,48,25,61,412,16,363,1194,940,143,60,95,2,21,56,18,1667,46,3855,144,6,244,54,17,580,78,53,4,28,176,13,9,158,110,11,50,5
"2020-05-04",70,0,85,29,497,144,544,57,311,247,1,6,681,332,61,28,51,324,6,372,1087,729,142,81,91,2,24,47,26,1866,52,2521,123,6,303,41,17,934,108,106,10,32,215,9,6,226,75,13,59,0
"2020-05-11",105,1,180,14,523,137,452,43,336,192,0,5,807,276,83,20,58,244,8,366,1018,449,163,125,125,0,21,46,47,1400,52,2215,117,11,301,36,21,966,89,63,13,32,223,18,1,166,111,7,69,0
"2020-05-18",86,0,144,6,502,238,441,72,262,204,0,5,777,225,84,16,29,255,6,340,754,331,149,93,97,0,33,52,39,1125,62,1299,113,8,300,14,8,714,76,45,10,48,225,12,1,164,63,11,50,3
"2020-05-25",77,0,120,17,486,109,293,35,255,196,0,5,655,219,105,11,49,127,7,279,554,325,150,107,85,0,23,32,38,709,50,836,96,10,330,25,10,599,102,49,6,38,174,18,0,194,56,5,55,2
"2020-06-01",80,0,112,16,479,125,222,36,208,237,0,4,546,158,98,16,42,111,11,250,619,285,170,104,92,1,28,24,35,577,42,628,143,10,219,21,6,415,112,60,12,27,159,15,1,184,57,3,83,5
"2020-06-08",72,0,134,22,392,85,120,30,252,119,0,0,684,174,65,20,42,143,10,224,318,391,148,98,46,1,13,22,41,493,38,473,118,11,198,14,10,433,79,57,3,56,161,11,0,85,35,8,53,0
"2020-06-15",56,2,152,27,441,62,120,25,226,281,0,6,401,117,38,9,37,74,2,171,293,109,127,58,63,1,30,24,34,462,40,406,115,2,169,11,16,300,52,45,10,60,162,19,0,75,55,4,53,1
"2020-06-22",67,0,150,45,441,46,59,12,235,150,0,1,346,120,26,14,25,99,1,127,227,76,81,83,85,2,29,24,19,219,29,289,94,6,131,10,12,168,52,57,6,48,195,15,1,68,54,2,48,2
