"state","population"
"alabama",4889347
"alaska",712114
"arizona",7259090
"arkansas",3012542
"california",39356141
"colorado",5722795
"connecticut",3558382
"delaware",970344
"florida",21409839
"georgia",10554409
"hawaii",1370589
"idaho",1783529
"illinois",12644109
"indiana",6729379
"iowa",3153269
"kansas",2890576
"kentucky",4450887
"louisiana",4632866
"maine",1342845
"maryland",6010629
"massachusetts",6887571
"michigan",9983148
"minnesota",5637494
"mississippi",2962093
"missouri",6118557
"montana",1065217
"nebraska",1927803
"nevada",3069329
"new hampshire",1358406
"new jersey",8872796
"new mexico",2085174
"new york",19428617
"north carolina",10390610
"north dakota",754887
"ohio",11680341
"oklahoma",3937529
"oregon",4215178
"pennsylvania",12795687
"rhode island",1054930
"south carolina",5107226
"south dakota",881196
"tennessee",6808577
"texas",28881232
"utah",3201120
"vermont",623417
"virginia",8420244
"washington",7562699
"west virginia",1791176
"wisconsin",5819432
"wyoming",575665
