"","lower","middle","upper"
"alabama",0.0110826507997898,0.0137256938237356,0.0170062503847651
"alaska",0.00743687510707555,0.00912722533189911,0.0112218195401298
"arizona",0.011580212675418,0.0143669821616759,0.0178250172060134
"arkansas",0.0113073643819738,0.0140260669428011,0.0174021730186666
"california",0.0100909748496429,0.0125308310339675,0.0155658828143237
"colorado",0.00928150507924887,0.0114793879144719,0.014209469561639
"connecticut",0.0125882833265231,0.0156762105811012,0.0195254594981652
"delaware",0.0122215925795388,0.0151438333415778,0.0187731693193342
"florida",0.0142418971740049,0.0177276871180582,0.0220613359507281
"georgia",0.00901024614547342,0.0111272854936738,0.0137518943988242
"hawaii",0.0139077648368694,0.0173703422105387,0.0216937772884504
"idaho",0.0101214469571283,0.0125252975981888,0.015507996018007
"illinois",0.0110385239632148,0.0137159189611542,0.017048134998678
"indiana",0.0106812679951597,0.0132523815020673,0.0164494521143779
"iowa",0.0122605491063401,0.0152734628602888,0.0190287086829573
"kansas",0.0113749407038597,0.0141566683802813,0.0176228929874184
"kentucky",0.0107708833003399,0.0133384381944543,0.0165268632656816
"louisiana",0.0102755462450241,0.0127265699418028,0.0157712296297799
"maine",0.0137422354851081,0.0170596685097684,0.0211873973615719
"maryland",0.0107380003956325,0.0133232902014082,0.0165393580838212
"massachusetts",0.011720780701934,0.0145778293189283,0.0181371829139765
"michigan",0.0116515339269737,0.014459810278281,0.0179530342332899
"minnesota",0.0111964651669696,0.0139179003436633,0.0173072027322779
"mississippi",0.0104739786765642,0.0129680976323161,0.0160639497206874
"missouri",0.0116618031800635,0.0144865564838245,0.0180006798465717
"montana",0.0121865865171134,0.0151110148636381,0.0187469156143772
"nebraska",0.0111966809004862,0.01393464159979,0.0173459632182334
"nevada",0.00975302963937721,0.0120366438983895,0.0148638509100849
"new hampshire",0.0122070633006627,0.0151373641753644,0.0187847989555405
"new jersey",0.0116475975137938,0.0144854288095883,0.0180191521556452
"new mexico",0.0114600476411081,0.0142069962986302,0.0176190469572323
"new york",0.0118611469045892,0.0147623719279658,0.0183763458876152
"north carolina",0.0107221834579491,0.0132772720677612,0.0164492408511146
"north dakota",0.0115411705593023,0.0144027002716963,0.017975013054934
"ohio",0.0117073392326474,0.0145409125024689,0.0180667545853327
"oklahoma",0.0105941007596389,0.0131408059826353,0.0163046081717747
"oregon",0.0114149709763146,0.0141521260691719,0.0175532613782858
"pennsylvania",0.012956634451124,0.0161318735570822,0.0200882362400706
"rhode island",0.0125623089209711,0.0156515873659864,0.0195052529267345
"south carolina",0.0111872347650173,0.0138344578955386,0.0171175904414647
"south dakota",0.0117586221226606,0.0146369738627956,0.018227085869659
"tennessee",0.0106566157597983,0.0131924376003973,0.0163395915005441
"texas",0.00838535170106317,0.0103717639870765,0.0128367562311746
"utah",0.00731752808704454,0.00904927760283901,0.0111959527384166
"vermont",0.0128373796832618,0.0159242725815947,0.0197648666141603
"virginia",0.0105163356358794,0.0130294402133715,0.0161510268966077
"washington",0.0101932537418189,0.0126262582419319,0.0156496115315445
"west virginia",0.0129285771191664,0.0160313088831025,0.0198848544699125
"wisconsin",0.0117040457556683,0.0145355811048226,0.0180602708717964
"wyoming",0.0108924581831447,0.0134951950874206,0.0167317087542234
